,title,row2,row3,job_description,skills,row6,link
392,Senior Data Engineer,"Skuad
3.1
24 Reviews","8-10 Yrs
Not disclosed
Bengaluru",A well-known corporation and brand does more than outfit the worlds best athl...,"['Computer science', 'Payroll', 'Data management', 'Agile', 'Workflow', 'Scrum', 'microsoft', 'Analytics']","30+ Days Ago
Save",https://www.naukri.com/job-listings-senior-data-engineer-skuad-pte-ltd-bengaluru-8-to-10-years-300823501318
393,"Manager , Data Analytics","Concerto.ai
3.5
8 Reviews","3-6 Yrs
Not disclosed
Bengaluru",. Doctoral degree . and three . years of related programming and statistical experience...,"['Statistical programming', 'Data analysis', 'SAS', 'Data management', 'Pharma', 'Clinical research', 'Healthcare', 'Oncology']","30+ Days Ago
Save",https://www.naukri.com/job-listings-manager-data-analytics-concerto-ai-bengaluru-3-to-6-years-300523500165
394,Machine Learning Engineer,"Ageye Technologies
4.8
6 Reviews","2-7 Yrs
Not disclosed
Bengaluru","Key Responsibilities: Working with the data science team to research, develop,...","['Cloud computing', 'C++', 'Machine learning', 'Agile', 'Data structures', 'Application development', 'Life sciences', 'Scrum']","30+ Days Ago
Save",https://www.naukri.com/job-listings-machine-learning-engineer-ageye-technologies-bengaluru-2-to-7-years-290722502184
395,Data Scientist,"Ageye Technologies
4.8
6 Reviews","2-7 Yrs
Not disclosed
Bengaluru","Key Responsibilities: Working with the data science team to research, develop ...","['Cloud computing', 'C++', 'Data analysis', 'Data modeling', 'Agile', 'Data structures', 'Application development', 'Scrum']","30+ Days Ago
Save",https://www.naukri.com/job-listings-data-scientist-ageye-technologies-bengaluru-2-to-7-years-290722502179
396,Computer Vision Engineer,"Ageye Technologies
4.8
6 Reviews","2-7 Yrs
Not disclosed
Bengaluru","Required Characteristics: . MSc or PhD in Computer Science, Data Science, Machine Learn...","['Computer vision', 'Cloud computing', 'C++', 'Image processing', 'Machine learning', 'Agile', 'Data structures', 'Application development']","30+ Days Ago
Save",https://www.naukri.com/job-listings-computer-vision-engineer-ageye-technologies-bengaluru-2-to-7-years-290722502178
397,AI/ML Engineer,"Marken
3.4
30 Reviews","5-7 Yrs
Not disclosed
Bengaluru","Bachelors degree (or equivalent) in computer science, mathematics, or a related field ....","['Computer science', 'Data modeling', 'Coding', 'Machine learning', 'Data structures', 'HTTP', 'Business intelligence', 'Information technology']","30+ Days Ago
Save",https://www.naukri.com/job-listings-ai-ml-engineer-marken-llp-bengaluru-5-to-7-years-290124501356
398,Associate - DIG,"TresVista Financial
3.1
209 Reviews","4-8 Yrs
Not disclosed
Bengaluru","Working with the client to lead pioneering research at the intersection of NLP, Docume...","['Computer science', 'Senior management', 'Analytical', 'Machine learning', 'model development', 'data visualization', 'Information technology', 'Financial services']","30+ Days Ago
Save",https://www.naukri.com/job-listings-associate-dig-tresvista-financial-bengaluru-4-to-8-years-281223500978
399,Data Scientist - I,"Chubb
3.8
116 Reviews","3-4 Yrs
Not disclosed
Bengaluru",The AI Team at Chubb is seeking a highly skilled and experienced Deep Learning Engin...,"['Business services', 'deep learning', 'C++', 'Claims', 'Analytical', 'Machine learning', 'Data collection', 'Actuarial']","30+ Days Ago
Save",https://www.naukri.com/job-listings-data-scientist-i-chubb-bengaluru-3-to-4-years-281123500318
400,Staff Engineer - Data scientist,"Freshworks
3.7
505 Reviews","3-6 Yrs
Not disclosed
Bengaluru","End-to-End ML Pipelines: Take ownership of ML pipelines from end to end, encompassing d...","['IT services', 'NoSQL', 'Machine learning', 'Schema', 'Signal processing', 'System design', 'Data processing', 'Distribution system']","30+ Days Ago
Save",https://www.naukri.com/job-listings-staff-engineer-data-scientist-freshdesk-bengaluru-3-to-6-years-271223500127
401,Computer Vision Engineer,Maynor Consulting,"1-3 Yrs
Not disclosed
Bengaluru",Solid understanding of OpenCV for image processing . Hands-on experience with any 1 of ...,"['Computer vision', 'deep learning', 'Image processing', 'Quality inspection', 'Opencv', 'Deployment', 'Research', 'Processing']","30+ Days Ago
Save",https://www.naukri.com/job-listings-computer-vision-engineer-maynor-consulting-pvt-ltd-bengaluru-1-to-3-years-271123500340
402,Senior Consultant,"Analytic Edge
3.1
16 Reviews","4-9 Yrs
Not disclosed
Bengaluru",DESIRED QUALIFICATIONS: . 3 to 5 years of relevant experience . Post graduate degree in...,"['customer analytics', 'Statistical analysis', 'SAS', 'Consulting', 'MS Office', 'Analytics', 'Python', 'Quantitative analysis']","30+ Days Ago
Save",https://www.naukri.com/job-listings-senior-consultant-analytic-edge-pvt-ltd-bengaluru-4-to-9-years-270722502157
